GeneralCount,p_Name,ProductID,GoodCount,PreferentialPrice,keyword,brand,PoorCount,GoodRateShow,price,CommentCount,type,shop_name
600,飞利浦(PHILIPS)吸尘器FC8760/81家用无尘袋大功率(酒红色),729221,47000,999.00,吸力很大 电源线够长 功率大 吸尘器不错 吸尘很干净 质量不错 打扫干净 使用方便 噪音小 吸力持久 小巧轻便 外观漂亮 吸力很大 质量不错 配件齐全 吸尘器不错 功率大,飞利浦（PHILIPS）,400,98,1000.00,48000,"飞利浦FC8760/81,729221,9.87kg,中国大陆,地板，地毯，瓷砖，厨房，沙发，床铺,水洗尘杯，旋风过滤,卧式吸尘器,电源式（5米-10米）,1800w及以上,地面吸头，缝隙吸头，小吸头",飞利浦品牌旗舰店
10,戴森(Dyson) 吸尘器 V7 FLUFFY手持吸尘器家用除螨无线,4838712,900,3690.00,外观漂亮 使用方便 吸尘很干净 吸力很大 打扫干净 吸尘器不错 小巧轻便 质量不错 刷头多样 配件齐全,DYSON,7,98,3691.00,900,"DYSONDYSON V7 FLUFFY,4838712,4.65kg,马来西亚,地板，地毯，瓷砖，厨房，沙发，床铺，汽车,水洗滤网，旋风过滤，除螨,无线吸尘器,充电式（无线）,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头",戴森官方旗舰店
500,小狗（puppy） 小型静音除螨大功率家用吸尘器D-9005  ,1351586523,46000,799.00,吸尘器不错 吸力很大 质量不错 吸尘很干净 电源线够长 使用方便 打扫干净 功率大 噪音小 吸头很多 吸力持久 小巧轻便 吸尘很干净 易收纳 打扫干净,小狗（puppy）,200,98,799.00,47000,"小狗（puppy） 小型静音除螨大功率家用吸尘器D-9005  ,1351586523, ,8.9kg,中国大陆,D-9005,地板，地毯，瓷砖，厨房，沙发，床铺，酒店,水洗尘杯，水洗滤网，旋风过滤，除螨,卧式吸尘器,电源式（5米-10米）,1400w-1799w,床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，小吸头",小狗电器官方旗舰店
10,戴森(Dyson) 吸尘器 V6 EXTRA手持吸尘器家用除螨无线,4070741,500,2590.00,外观漂亮 小巧轻便 使用方便 吸尘很干净 吸力很大 吸尘器不错 打扫干净 吸头很多 刷头多样 功率大 质量不错 吸尘器不错 小巧轻便 吸头很多 易收纳 小巧轻便 打扫干净 噪音小 使用方便,DYSON,2,98,2699.00,500,"DYSONDYSON V6 EXTRA,4070741,4.21kg,马来西亚,地板，地毯，瓷砖，厨房，沙发，床铺，汽车,水洗滤网，旋风过滤，除螨,无线吸尘器,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头",戴森官方旗舰店
100,飞利浦（PHILIPS）吸尘器FC6162/81无绳充电式手持立式二合一,1077571,10000,1199.00,使用方便 质量不错 吸尘器不错 吸尘很干净 打扫干净 小巧轻便 外观漂亮 噪音小 吸力很大 配件齐全 易收纳 外观漂亮 打扫干净 质量不错 噪音小 配件齐全,飞利浦（PHILIPS）,80,98,1200.00,11000,"飞利浦FC6162/81,1077571,4.33kg,广东珠海,地板，地毯，瓷砖，厨房，沙发，床铺,水洗尘杯，水洗滤网，旋风过滤,立式/手持吸尘器,充电式（无线）,地面吸头，缝隙吸头",飞利浦品牌旗舰店
5,戴森(Dyson) 吸尘器 V6 ANIMAL+手持吸尘器家用除螨无线,4838732,500,2990.00,吸力很大 吸尘很干净 吸尘器不错 小巧轻便 吸力持久 打扫干净 配件齐全 外观漂亮 吸头很多 刷头多样 质量不错 刷头多样 使用方便 吸尘器不错 刷头多样 小巧轻便 吸力很大,DYSON,1,99,2991.00,500,"DYSONDYSON V6 ANIMAL+,4838732,4.43kg,马来西亚,地板，地毯，瓷砖，厨房，沙发，床铺，汽车,水洗滤网，旋风过滤，除螨,无线吸尘器,充电式（无线）,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，其他",戴森官方旗舰店
100,小狗（puppy）家用无线无绳手持立式充电小型吸尘器D-531,10126937869,16000,999.00,外观漂亮 不易缠发 打扫干净 节能电机 吸尘器不错,小狗（puppy）,100,98,999.00,17000,"小狗（puppy）家用无线无绳手持立式充电小型吸尘器D-531,10126937869, ,3.0kg,中国大陆,D-531,地板，地毯，瓷砖，厨房，沙发，床铺，汽车，酒店,水洗尘杯，水洗滤网，旋风过滤，除螨,无线吸尘器,充电式（无线）,500W以下,电动吸头，床褥沙发吸头，地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头",小狗电器官方旗舰店
50,莱克（LEXY）除螨仪小型手持床铺除螨机家用吸尘器VC-B501,1419129,7900,639.00,使用方便 配件齐全 尘杯容量大 吸力很大 吸尘器不错 功率大 打扫干净 尘杯容量大 吸尘很干净 吸力很大 功率大 吸尘器不错 电源线够长,莱克（LEXY）,20,99,999.00,8000,"莱克VC-B501,1419129,3.48kg,中国大陆,沙发，床铺,水洗尘杯，水洗滤网，旋风过滤，除螨,除螨仪",莱克旗舰店
100,飞利浦（PHILIPS）吸尘器FC5833/81家用无尘袋大功率（薄荷绿）,2267834,7900,999.00,电源线够长 干湿两用 功率大 质量不错 防撞保护 吸力持久,飞利浦（PHILIPS）,90,98,1000.00,8100,"飞利浦FC5833/81,2267834,8.06kg,中国大陆,地板，地毯，瓷砖，厨房，沙发，床铺,水洗尘杯，水洗滤网，旋风过滤,卧式吸尘器,电源式（5米-10米）,1400w-1799w,床褥沙发吸头，地面吸头，缝隙吸头，毛刷吸头，小吸头",飞利浦品牌旗舰店
100,莱克吸尘器 VC-SP1001D-10家用无线手持吸尘器车用,1120207,10000,799.00,,莱克（LEXY）,40,99,1599.00,10000,"莱克VC-SP1001D-10,1120207,5.26kg,中国大陆,地板，地毯，瓷砖,水洗尘杯，水洗滤网,无线吸尘器",莱克旗舰店
700,美的（Midea）吸尘器C3-L148B家用无耗材卧式吸尘器,1312738,48000,369.00,,美的（Midea）,400,97,499.00,49000,"美的C3-L148B,1312738,6.86kg,中国大陆,地板，地毯，瓷砖，厨房，床铺,水洗尘杯，旋风过滤,卧式吸尘器,电源式（5米-10米）,1000w-1399w,地面吸头，扁嘴吸头，毛刷吸头",美的吸尘器旗舰店
500,小狗（puppy）小型手持床铺除螨机除螨仪家用吸尘器D-607,2963900,55000,279.00,,小狗（puppy）,200,99,499.00,56000,"小狗D-607,2963900,1.89kg,江苏省-苏州市,D-607,沙发，床铺,水洗尘杯，水洗滤网，除螨,除螨仪,电源式（5米以下）,500W以下,其他",小狗电器自营旗舰店
3200,德尔玛（Deerma） DX128C 家用 吸尘器 迷你 手持小型 推杆吸尘器 有效除螨,1042114,140000,99.00,配件齐全 吸尘很干净 打扫干净 使用方便 电源线够长 电源线够长 小巧轻便 小巧轻便 吸尘器不错,德尔玛（Deerma）,900,97,298.00,140000,"德尔玛DX128C,1042114,1.82kg,广东佛山,地面吸头，扁嘴吸头，毛刷吸头,地板，地毯，沙发,500w-999w,立式/手持吸尘器",德尔玛官方旗舰店
100,杰诺吸尘器干湿两用大功率工业大型桶式吸尘器 酒店宾馆地毯洗车场工厂车间商用吸尘器50L,1055989295,7900,599.00,吸力很大 打扫干净 东西不错 功率大 质量不错 吸力很大 质量不错 吸尘器不错 电源线够长 噪音小 吸头很多 配件齐全 打扫干净 外观漂亮 质量不错 吸尘很干净,杰诺,100,97,1200.00,8100,"杰诺吸尘器干湿两用大功率工业大型桶式吸尘器 酒店宾馆地毯洗车场工厂车间商用吸尘器50L,1055989295, ,14.48kg,202-50L升级版,地板，地毯，瓷砖，酒店，工业,HEPA滤网（HEPA13及以上），水洗滤网，干湿两用,桶式吸尘器,电源式（5米-10米）,1800w及以上,地面吸头，缝隙吸头，扁嘴吸头，毛刷吸头，其他",杰诺官方旗舰店
