creationTime,content_1,days,hour,mobile,nickname,productColor,productSize,recommend,score,usefulVoteCount,userClient,userLevel,userProvince
2017-03-27 15:14:33,"""空调的质量没的说，安装也不错！赞！","49,""afterDays"":0", 15,true,"""n***4""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""金牌会员""","""江苏"""
2017-03-27 15:07:25,"""好好好好好好好好好好好好好好好好好好好好好","4,""afterDays"":0", 15,false,"""1***5""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""""","""钻石会员""",""""""
2017-03-27 15:03:53,"""商品不错，值得购买！","19,""afterDays"":0", 15,true,"""天***明""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""PLUS会员""","""河北"""
2017-03-27 14:55:32,"""服务态度好","4,""afterDays"":0", 14,true,"""j***d""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""金牌会员""",""""""
2017-03-27 14:52:02,"""厂家态度挺好，还打电话问货物怎么样","4,""afterDays"":0", 14,true,"""l***9""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""银牌会员""",""""""
2017-03-27 14:45:14,"""在京东购买了多次大家电了，一如既往的好，这次购买了两台格力空调，一贯如此！格力安装人员服务也很到位，安装了得三个小时，教导如何使用，态度很好，并且给看下家里现有的一台格力柜机是否清洗，很好的服务态度！入门都带鞋套！好评，京东送货给力，格力售后安装也很给力，好评，继续支持京东好！好空调格力造，选空调，必须上京东！送货快，免去了去商场的时间，简单，快捷！希望京东多给用户一些优惠，回头客定会很多，很多，很多！继续支持！","4,""afterDays"":0", 14,true,"""q***1""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""金牌会员""","""山东"""
2017-03-27 14:45:14,"""空调不错，送的也可以，安装的人员速度挺快的。只是说的0元安装，安装师傅收了我30元架了钱。","4,""afterDays"":0", 14,true,"""j***j""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""银牌会员""",""""""
2017-03-27 14:27:42,"""空调不错，很满意。","4,""afterDays"":0", 14,false,"""3***迎""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""""","""钻石会员""",""""""
2017-03-27 14:23:38,"""空调已经按上，安装师傅服务态度好！","2,""afterDays"":0", 14,true,"""j***k""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""钻石会员""",""""""
2017-03-27 14:23:13,"""一次满意的京东购物","4,""afterDays"":0", 14,false,"""图***2""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""""","""PLUS会员[试用]""",""""""
2017-03-27 13:58:01,"""空调质量好，送货速度快，配送员服务态度很好。","4,""afterDays"":0", 13,false,"""3***建""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""""","""钻石会员""",""""""
2017-03-27 13:50:59,"""物超所值，赞赞赞赞赞","4,""afterDays"":0", 13,true,"""4***1""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""PLUS会员""",""""""
2017-03-27 13:48:33,"""空调还没试过不知道好不好，物流速度跟安装还不错","4,""afterDays"":0", 13,true,"""p***7""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""银牌会员""",""""""
2017-03-27 13:48:15,"""安装师傅人不错，态度很多，服务也很不错哦！","4,""afterDays"":0", 13,true,"""j***a""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""金牌会员""","""上海"""
2017-03-27 13:47:39,"""大品牌就是规范，送货安装都很快。目前还没用，还不知道制冷如何，试运行时制热很好。","4,""afterDays"":0", 13,true,"""w***4""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""银牌会员""","""安徽"""
2017-03-27 13:46:54,"""东商城正品，值得信赖！十分满意京东的服务，安装师傅态度非常好，值得称赞。","4,""afterDays"":0", 13,true,"""j***f""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""PLUS会员""","""广西"""
2017-03-27 13:46:54,"""空调当然首选格力，送货准时，安装得很好很负责","4,""afterDays"":0", 13,true,"""彼***殇""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""钻石会员""","""四川"""
2017-03-27 13:35:16,"""空调很好，安装师傅态度很好，很专业","2,""afterDays"":0", 13,true,"""j***q""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""银牌会员""",""""""
2017-03-27 13:31:35,"""家里空调换新，不错。","4,""afterDays"":0", 13,true,"""c***m""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""金牌会员""",""""""
2017-03-27 13:30:58,"""快递好，及时就能用上了，京东给力。","4,""afterDays"":0", 13,true,"""j***2""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""钻石会员""",""""""
2017-03-27 12:41:50,"""东西已收到京东送货及时服务太度也很好，已经安装好具体使用效果待评","4,""afterDays"":0", 12,true,"""j***y""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""银牌会员""",""""""
2017-03-27 12:39:05,"""还不错，喜欢这个品牌，值得推荐","4,""afterDays"":0", 12,true,"""8***6""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""钻石会员""",""""""
2017-03-27 12:39:05,"""非常好的空调，安装试了下，效果也是非常的不错，还是比较相信格力的品质的。呵呵","4,""afterDays"":0", 12,true,"""l***4""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""金牌会员""","""湖北"""
2017-03-27 12:35:58,"""京东活动力度大，送货及时","4,""afterDays"":0", 12,true,"""i***n""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""企业会员""","""江苏"""
2017-03-27 12:35:09,"""质量好安装及时售后有保障","4,""afterDays"":0", 12,false,"""长***院""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""""","""钻石会员""","""吉林"""
2017-03-27 12:28:15,"""北方天气还无法使用制冷，只能等到温度高时才能看到效果。制热还是较快的。室内机感觉不如图片看着秀气。安装需要付费，页面一定要看仔细了。","4,""afterDays"":0", 12,false,"""j***w""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""""","""金牌会员""","""河北"""
2017-03-27 12:27:41,"""空调下单第三天送到，比下单提示的时间还早一天","2,""afterDays"":0", 12,true,"""A***A""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""钻石会员""",""""""
2017-03-27 12:26:14,"""效果很好","72,""afterDays"":0", 12,true,"""n***e""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""钻石会员""","""广东"""
2017-03-27 12:25:50,"""格力空调值得信赖，被民族企业家董明珠个人魅力征服！","4,""afterDays"":0", 12,false,"""j***8""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自微信购物""","""银牌会员""","""吉林"""
2017-03-27 12:19:35,"""大品牌值得信赖，空调一直用的格力。","4,""afterDays"":0", 12,true,"""尚***场""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""钻石会员""","""河北"""
2017-03-27 12:19:35,"""送货快、安装师傅热情、好评","3,""afterDays"":0", 12,true,"""j***4""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""金牌会员""",""""""
2017-03-27 13:20:09,"""不错","3,""afterDays"":0", 13,false,"""j***b""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""""","""银牌会员""",""""""
2017-03-27 13:14:19,"""师傅安装到位，热情，好评","4,""afterDays"":0", 13,true,"""妈***7""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""PLUS会员""","""北京"""
2017-03-27 13:06:26,"""安装人员很仔细，制热试过了好的，制冷暂时不够条件试","3,""afterDays"":0", 13,true,"""x***2""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""金牌会员""","""浙江"""
2017-03-27 13:02:34,"""直接寄回老家安装在2楼无收费。老公说还不错。用后追评","4,""afterDays"":0", 13,true,"""6***a""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""PLUS会员""","""广东"""
2017-03-27 13:02:23,"""速度挺快的，一直信赖京东，售后特别好，做活动买的，还没有用，试了一下，还不错的","4,""afterDays"":0", 13,false,"""j***莹""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""""","""金牌会员""","""陕西"""
2017-03-27 13:01:29,"""真是愉快的购物体验，京东配送快。态度好。安装师傅态度更是没的说，空调安装及时。虽然暖气停了，但是还是有点冷啊，这下好啦 不用担心宝宝着凉了。","3,""afterDays"":0", 13,true,"""b***w""","""正1.5匹""","""品圆变频挂机""",false,5,1,"""来自京东iPhone客户端""","""金牌会员""","""河南"""
2017-03-27 13:01:29,"""安装快、值得表扬","2,""afterDays"":0", 13,true,"""L***6""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""金牌会员""",""""""
2017-03-27 12:57:13,"""服务很好！很满意","2,""afterDays"":0", 12,true,"""j***j""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""银牌会员""",""""""
2017-03-27 12:53:49,"""物流迅速，服务到位，安装人员非常细心仔细，非常感谢","4,""afterDays"":0", 12,true,"""g***1""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""金牌会员""","""湖北"""
2017-03-27 14:20:21,"""配送员服务态度很好！送货挺快的呀！","4,""afterDays"":0", 14,true,"""0***店""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""PLUS会员""","""河南"""
2017-03-27 14:16:48,"""23号订单  25送到  27号安装 一切都还好 希望空调能好用！安装师傅态度蛮好。","4,""afterDays"":4", 14,true,"""宁***凡""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""银牌会员""",""""""
2017-03-27 14:16:48,"""24下单，25就收到货了，预约的27安装，刚安装完，只收了加的管子钱和支架费用，没收别的费用，空调装好后试机挺好的，家里人看着安装的，说安装工人服务态度很好","3,""afterDays"":0", 14,true,"""L***_""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""金牌会员""",""""""
2017-03-27 14:16:08,"""非常好。","27,""afterDays"":0", 14,true,"""j***4""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""银牌会员""",""""""
2017-03-27 14:14:49,"""很好，便宜实惠，非常满意，给100分，购物上京东","4,""afterDays"":0", 14,true,"""7***淙""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东iPhone客户端""","""钻石会员""",""""""
2017-03-27 14:11:26,"""送货快 安装也快 服务态度也好 给32个赞  买家电还是上京东 品质有保证","4,""afterDays"":0", 14,false,"""t***8""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""""","""钻石会员""",""""""
2017-03-27 14:07:27,"""好评好好，安装专业热情，非常满意，支持京东","4,""afterDays"":0", 14,true,"""j***z""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""金牌会员""",""""""
2017-03-27 14:04:29,"""给父母买的，大品牌值得信赖，好好","2,""afterDays"":0", 14,true,"""w***j""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""PLUS会员[试用]""",""""""
2017-03-27 14:03:57,"""习惯性好评，信赖京东！","1,""afterDays"":0", 14,true,"""F***玲""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""钻石会员""","""广东"""
2017-03-27 14:05:24,"""空调安装师傅很负责任，在网上买家电很放心","4,""afterDays"":4", 14,true,"""j***c""","""正1.5匹""","""品圆变频挂机""",false,5,0,"""来自京东Android客户端""","""银牌会员""",""""""
